"1","Super Loco","5","Wilson"
"6","Boca la concha de tu madre","5","Wilson"
"6","Boca la concha de tu madre","1","Super Loco"
"5","Wilson","1","Super Loco"
"5","Wilson","5","Wilson"
"6","Boca la concha de tu madre","1","Super Loco"
"5","Wilson","5","Wilson"
"5","Wilson","1","Super Loco"
"1","Super Loco","5","Wilson"
"1","Super Loco","6","Boca la concha de tu madre"
"5","Wilson","6","Boca la concha de tu madre"
"6","Boca la concha de tu madre","1","Super Loco"
"5","Wilson","1","Super Loco"
"6","Boca la concha de tu madre","5","Wilson"
"1","Super Loco","6","Boca la concha de tu madre"
"1","Super Loco","5","Wilson"
"5","Wilson","6","Boca la concha de tu madre"
"1","Super Loco","5","Wilson"
"5","Wilson","6","Boca la concha de tu madre"
"4","Un titulo coerente","9","uvjvjg"
"9","uvjvjg","9","uvjvjg"
"9","uvjvjg","11","dhdhg"
"11","dhdhg","4","Un titulo coerente"
"9","uvjvjg","3","perogm"
"3","perogm","4","Un titulo coerente"
